0.24045381546301134, 0.6100004726730472, 0.14954571186394128
4.721249396374767, 4.6135358871844305, 9.244647203095868
1.1221004077904873, -0.006997321229537334, -0.23074730264600163
-0.006997321229537334, 0.4100286342673378, -0.12670650332191258
-0.23074730264600163, -0.12670650332191258, 1.7707134191962268
-8.63067512634618, -4.703259254078633, 0.3217850572099836
10.393368400140943, 19.731807199382217, 9.219863929481516
19.731807199382217, 59.68393450968618, 25.50848570985805
9.219863929481516, 25.50848570985805, 14.246073441524278
5.003030806594932, 6.088981807541458, 10.625152520963713
0.5892853864369805, -0.17970590713973422, 0.5996030108151658
-0.17970590713973422, 0.19379939084328157, -0.15114270948107844
0.5996030108151658, -0.15114270948107844, 2.1298681701331645
-11.490882119, -6.98905460691, -4.40419441372, 1
-5.28878377364, 5.8129081943, 6.39961069915, 1
4.85662752587, 6.66840161189, 9.3672232654, 2
-10.8879639193, -10.7523184777, -3.73838180146, 1
5.7373685759, 5.38618639917, 11.4199466397, 2
-12.20197051, -12.4427133393, 0.481464056302, 1
3.14436253422, 5.24036727554, 8.9413640188, 0
3.2258659403, 4.30401882425, 7.48347088287, 0
-8.6235545778, -11.5234016332, -2.49430816821, 1
5.57380586241, 4.60910020624, 10.401109608, 0
-4.41605402282, 9.78473053188, 5.69207086679, 1
4.20193726476, 6.74371222512, 13.1652126638, 2
-9.7444846198, -6.88250002233, 1.65091870885, 1
-11.5454174285, -8.62325747434, -0.023267292857, 1
5.04549008063, 5.80723653458, 12.0043635335, 2
4.16884501576, 5.46843911945, 9.67035804607, 0
-3.52960384689, 0.753799299915, 4.71477713916, 1
4.31113101615, 6.25523737472, 9.82176725119, 2
-6.53569790309, 4.37048370657, 4.48207116223, 1
3.73264795099, 6.15020554255, 8.28523334331, 2
-9.6570964536, -12.6839492741, -0.217816848265, 1
6.00074569749, 4.50944011288, 8.6225227821, 0
4.3323791893, 5.00577405256, 9.81140990709, 0
-3.10956806665, 3.11876217022, 5.1981739445, 1
-6.59601815816, 5.67060200157, 4.90544064571, 1
5.10426710894, 4.11223876566, 8.8897868409, 0
-1.75371597512, 2.16654573615, 5.58209013565, 1
-5.43908818387, 6.72579739571, 5.22294917387, 1
-12.2000862252, -11.3101876794, -4.49464293755, 1
-9.32427695175, -8.84381977436, -1.85662684827, 1
